object,other,type,con,ra_hr,ra_min,dec_deg,dec_min,mag,subr,urano,ti,size_max,size_min,pa,class,nsts,brstr,bchm,ngc descr,notes
PK5+6.1,M3-11,PLNNB,OPH,17,35.4,-20,57,17.7,13.1,338,22,7.0s,,,2,,17.2,,,
PK5+5.1,M3-12,PLNNB,OPH,17,36.4,-21,31,14.8,9.8,338,22,6.7s,5.4s,,2,,,,,
PK7+6.1,M1-23,PLNNB,OPH,17,37.4,-18,47,14.5,99.9,338,15,8.4s,6s,,2,,,,,
NGC6402,M14,GLOCL,OPH,17,37.6,-3,15,7.6,12,248,15,6.7m,,,VIII,,14,M,B;vL;R;eRi;vgmbM,Many vF stars 14...
PK7+6.2,M1-24,PLNNB,OPH,17,38.2,-19,38,14.2,99.9,338,15,7.1s,5.8s,,2,,16,,,
PK4+4.1,M1-25,PLNNB,OPH,17,38.5,-22,9,14,99.9,338,22,4.7s,4.6s,,2,,17.9,,,
NGC6401,GCL73,GLOCL,OPH,17,38.6,-23,55,7.4,99.9,338,22,1m,,,IX,,,H,pB;pL;R;*12F inv,H I 44
PK8+6.1,He2-260,PLNNB,OPH,17,38.9,-18,18,11,99.9,338,15,10s,,,,,14.2,,,
B79,LDN216,DRKNB,OPH,17,39.5,-19,47,79.9,79.9,338,15,50m,30m,,6 Ir,,,,4''-fills entire field 3 deg; medium contrast,B79 is narrow;straight north preceding extension
B276,LDN219,DRKNB,OPH,17,39.6,-19,49,79.9,79.9,338,22,45m,,,6,,,,4'' vL;somewhat prominent large dark area,Region of broken dark markings; BD -19 4677 (mag 8.3) in NW part
PK5+5.2,Haro2-16,PLNNB,OPH,17,39.9,-21,14,15.3,99.9,338,22,17.0s,,,3,,,,,
PK3+3.1,ESO520-14,PLNNB,OPH,17,40.1,-24,26,14,99.9,338,22,3.5s,,,2,,21,,,
PK1+2.1,He2-262,PLNNB,OPH,17,40.2,-26,45,15,99.9,338,22,4.0s,,,,,,,,
PK5+4.1,Haro1-27,PLNNB,OPH,17,40.3,-22,19,15.6,99.9,338,22,5.0s,,,2,,,,,
PK1+1.1,ESO520-16,PLNNB,OPH,17,40.5,-27,1,15.5,99.9,338,22,37.0s,,,3,,20.3,,,
NGC6413,,4STAR,OPH,17,40.7,12,37,99.9,99.9,203,15,,,,,,,,vF;vS;smbM,
PK5+4.2,M3-13,PLNNB,OPH,17,41.6,-22,13,18.5,99.9,338,22,7s,,,1,,,,,
PK3+2.1,Hubble4,PLNNB,OPH,17,41.9,-24,42,13.1,99.9,338,22,6.6s,5.8s,,3b,,17,,13''-pF; S; comet-shaped at 220X; * invol,
PK3+3.2,He2-267,PLNNB,OPH,17,41.9,-24,11,18,99.9,338,22,2s,,,1,,,,,
Pal6,,GLOCL,OPH,17,43.7,-26,13,11.6,99.9,338,22,1.2m,,,XI,,,,13''-vvF;pL;R;nBM at 165X,
NGC6426,GCL76,GLOCL,OPH,17,44.9,3,10,10.9,99.9,248,15,3.2m,,,IX,,15.2,H,vF;cL;E;vlbM,H II 587
PK8+5.1,The4-2,PLNNB,OPH,17,46.2,-18,40,16.5,99.9,338,15,20s,,,,,,,,
