object,other,type,con,ra_hr,ra_min,dec_deg,dec_min,mag,subr,urano,ti,size_max,size_min,pa,class,nsts,brstr,bchm,ngc descr,notes
NGC7510,OCL256,OPNCL,CEP,23,11.5,60,34,7.9,99.9,58,3,4m,,,II 2 m n,60,9.7,H,Cl;pRi;pC;fan-sh;*pB,H VII 44;L region of F neby to SE
NGC7538,LBN542,BRTNB,CEP,23,14.1,61,29,99.9,99.9,34,3,8m,7m,,E,,,,vF;L;2pB* inv,H II 706;Filamentary struct in neby
Mrk50,,OPNCL,CEP,23,15.3,60,28,8.5,99.9,58,3,5.0m,,,I 2 p n,5,9.8,,,With binary HD 219460;very compressed 13 * in 3'
Berk99,,OPNCL,CEP,23,21.3,71,47,99.9,99.9,34,3,6m,,,III 2r :b,60,14,,13''-F; pS; C at 165X; 3* and some haze,
Berk100,,OPNCL,CEP,23,26,63,47,99.9,99.9,15,3,4m,,,IV 2p :b,100,16,,,
PK116+8.1,M2-55,PLNNB,CEP,23,31.9,70,23,14.3,99.9,15,3,63.0s,45.0s,,3,,21.1,,13''-vF; pS; R; lBM at 220X; UHC really helps,
Berk101,,OPNCL,CEP,23,32.8,64,12,99.9,99.9,15,3,4m,,,III 2p :b,10,16,,,
NGC7708,,ASTER,CEP,23,36.3,72,51,99.9,99.9,3,3,30m,,,,25,7.3,,Cl;L;P;lC;st 8;10...15,H VIII 62
NGC7748,,1STAR,CEP,23,44.9,69,45,7.1,99.9,15,3,,,,,,,,vL neby;surrounds *7,
King11,,OPNCL,CEP,23,47.6,68,38,99.9,99.9,15,3,3.5m,,,I 2m :b,50,17,,,
NGC7762,OCL280,OPNCL,CEP,23,49.8,68,2,10,99.9,15,3,11m,,,II 2 p,40,11,,Cl;pRi;pC;*11...15,H VII 55
NGC7807,ESO538-15,GALXY,CET,0,0.4,-18,51,15.6,99.9,305,17,0.7m,0.5m,27,SBab,,,,eF;pS;iF,
MCG-03-01-015,UGCA444;WLM,GALXY,CET,0,1.9,-15,27,10.6,14.6,260,17,11m,4m,4,,,,,13''-vF; L; E 2X1 in PA 15; lBM; low surf brtns,Appr. 50/50 Face & Edge On; Local Group; Low Surf Br
NGC7808,MCG-2-1-13,GALXY,CET,0,3.5,-10,45,13.5,13.9,260,17,1.3m,1.3m,,SO,,,,eF;vS;R;stell N;*8.5 sp 3',
NGC7813,IC5384,GALXY,CET,0,4.2,-11,59,15,99.9,260,17,0.8m,0.3m,158,Sb,,,,eF;vS;E 160;*8.5 p 49'';2*9m n 8',
NGC7821,MCG-3-1-19,GALXY,CET,0,5.3,-16,29,14,99.9,260,17,1.4m,0.5m,111,Sc,,,,vF;pS;iF;glbM,
NGC7826,ESO538-**19,ASTER,CET,0,5.3,-20,41,99.9,99.9,305,18,12m,,,,,,,Cl;vP;vlC;4 F* neby,H VIII 29
NGC7828,MCG-2-1-25,GALXY,CET,0,6.5,-13,25,13.9,12.7,260,17,1m,0.5m,140,Sc Ring,,,,pF;S;E 130 deg;sbMN;*15 sf,
NGC7829,MCG-2-1-24,GALXY,CET,0,6.5,-13,25,13.9,12.9,260,17,0.7m,0.7m,,Sa Ring,,,,eF;eS;R;(neb?);f of 2,
NGC17,NGC34,GALXY,CET,0,11.1,-12,7,13.8,99.9,260,17,2.1m,0.8m,30,S,,,,vF;eS;iR;D*2'p,
NGC34,NGC17,GALXY,CET,0,11.1,-12,7,13.8,99.9,260,17,2.1m,0.8m,30,S,,,,pF;S;R;2 st nr,
NGC35,MCG-2-1-33,GALXY,CET,0,11.2,-12,1,14,99.9,260,17,0.7m,0.5m,135,Sb,,,,eeF;pS;R,
NGC45,UGCA4,GALXY,CET,0,14.1,-23,11,10.6,14.7,305,18,7.6m,5.4m,142,SBd,,,,eF;L;vgvlbM;L*cont f,Loose struct;Spiral pattern dim
NGC47,NGC58,GALXY,CET,0,14.5,-7,10,13.8,99.9,260,17,2.3m,2.1m,,SBbc,,,,vF;vS,
NGC58,NGC47,GALXY,CET,0,14.5,-7,10,13.8,99.9,260,17,2.3m,2.1m,,SBbc,,,,vF;pS;R,
NGC50,MCG-1-1-58,GALXY,CET,0,14.7,-7,21,12.4,99.9,260,17,2.4m,1.8m,170,E-SO,,,,vF,
NGC54,MCG-1-1-60,GALXY,CET,0,15.1,-7,6,14.6,99.9,260,17,1.3m,0.5m,93,Sa,,,,vF;pS;R;5092 sp,
NGC59,ESO539-4,GALXY,CET,0,15.4,-21,27,12.4,13.6,305,18,2.6m,1.3m,127,E-SO,,,,vF;pS;iR;gbM,
NGC62,MCG-2-1-43,GALXY,CET,0,17.1,-13,29,14.4,99.9,261,17,1.1m,0.8m,130,Sa,,,,F;vS;R;glbM,
NGC64,MCG-1-1-68,GALXY,CET,0,17.5,-6,50,14,99.9,261,17,1.6m,1.1m,30,SBbc,,,,eeF;vS;R;v diffic,
NGC73,MCG-3-1-26,GALXY,CET,0,18.6,-15,19,13.6,99.9,261,17,1.7m,1.2m,145,Sbc,,,,vF;S;R;eF D*close f,
NGC65,ESO473-10A,GALXY,CET,0,19,-22,53,15,99.9,306,18,1m,0.8m,0,E-SO Bar,,,,eF;vS;R;gbM;p of 2,
NGC66,ESO473-10,GALXY,CET,0,19.1,-22,56,13.4,13,306,18,1.2m,0.7m,32,SB Ring,,,,eF;pS;E;225 degrees;*9n1'f of 2,
NGC77,ESO473-15,GALXY,CET,0,20,-22,32,15,99.9,306,18,0.4m,0.4m,,E-SO,,,,eF;vS;iF(?*);*9p3',
NGC102,MCG-2-2-11,GALXY,CET,0,24.6,-13,57,14,99.9,261,17,1m,0.7m,140,SBO-a,,,,eF;vS;R,
NGC107,MCG-2-2-14,GALXY,CET,0,25.7,-8,17,16,99.9,261,17,0.9m,0.6m,140,Sbc,,,,F;pL;* 7 sf 5',
NGC111,,NONEX,CET,0,26.6,-2,38,99.9,99.9,216,17,,,,,,,,vF;S;R;lbM;* 8;5 p 36;n2' (?=113),
NGC113,MCG-1-2-16,GALXY,CET,0,26.9,-2,30,13.5,99.9,216,17,1.4m,1m,135,E-SO,,,,vF;S;sbM,
NGC114,UGC259,GALXY,CET,0,27,-1,47,13.7,13,216,17,0.8m,0.7m,165,SBO,,,,vF;S * in centr;p of 2,
NGC116,MCG-1-2-17,GALXY,CET,0,27.1,-7,40,14.5,99.9,261,17,0.8m,0.4m,99,Sa,,,,vF,
NGC117,MCG0-2-29,GALXY,CET,0,27.2,1,20,14.3,12.9,216,17,0.7m,0.4m,100,Sa,,,,F;vS,
NGC118,UGC264,GALXY,CET,0,27.3,-1,47,14,12.8,216,17,0.7m,0.5m,40,Compact,,,,vF;S * in centr;f of 2,Compact
NGC120,UGC267,GALXY,CET,0,27.5,-1,31,13.4,13.3,216,17,1.5m,0.6m,73,SBO,,,,Nebulous *,
NGC123,,1STAR,CET,0,27.6,-1,36,99.9,99.9,216,17,,,,,,,,2vf neb 4'-5' np of * 8.5m,
NGC122,,1STAR,CET,0,27.7,-1,38,99.9,99.9,216,17,,,,,,,,2vF neb 4'-5' np of * 8.5m,
NGC124,UGC271,GALXY,CET,0,27.9,-1,49,13,13,216,17,1.4m,0.8m,168,Sc,,,,vF;L;dif;2 f st np,
NGC132,UGC301,GALXY,CET,0,30.2,2,6,12.6,13.6,216,10,1.9m,1.5m,40,SBbc,,,,pF;cL;R;vglbM;r,H II 855;UGC 301
NGC142,ESO473-21,GALXY,CET,0,31.1,-22,37,13.8,13.1,306,18,1.1m,0.6m,101,SBb,,,,eF;S;lE;1st of 3,
NGC143,ESO473-22,GALXY,CET,0,31.3,-22,34,14.4,12.6,306,18,1m,0.2m,20,SBb,,,,eF;S;mE;2nd of 3,
NGC144,ESO473-23,GALXY,CET,0,31.3,-22,39,13.7,13,306,18,0.8m,0.7m,,Sc,,,,eF;vS;R;3rd of 3,
NGC135,IC26,GALXY,CET,0,31.8,-13,20,15.9,99.9,261,10,0.5m,0.5m,,S,,,,vF;vS;R,
NGC145,Arp19,GALXY,CET,0,31.8,-5,9,12.7,13.5,216,10,1.8m,1.5m,115,SBd,,,,F;pL;vlE;vgbM;*8-9 f 5',
NGC151,NGC153,GALXY,CET,0,34,-9,42,11.6,13.4,261,10,3.8m,1.6m,75,SBbc,,,,pF;pL;lE 90 degrees;vglbM,H II 478
NGC153,NGC151,GALXY,CET,0,34,-9,42,11.6,99.9,261,10,3.8m,1.6m,75,SBbc,,,,pF;pS;R;* nr nf,
NGC154,MCG-2-2-53,GALXY,CET,0,34.3,-12,39,14,99.9,261,10,1.1m,0.9m,80,Elliptical,,,,eF;vS;R,H III 467
NGC156,,2STAR,CET,0,34.6,-8,20,99.9,99.9,261,10,,,,,,,,vS;np 157,
NGC155,MCG-2-2-55,GALXY,CET,0,34.7,-10,46,13.5,99.9,261,10,1.7m,1.3m,175,SO,,,,pF;S;R,
NGC157,MCG-2-2-56,GALXY,CET,0,34.8,-8,24,10.4,12.9,261,10,4.1m,2.7m,40,SBbc,,,H,pB;L;E;bet 2 cB st,H II 3
NGC158,,2STAR,CET,0,35.1,-8,21,99.9,99.9,261,10,,,,,,,,vS;nf 157,
NGC167,ESO473-29,GALXY,CET,0,35.4,-23,23,13.6,13.1,306,18,1m,0.7m,171,SBc,,,,vF;pS;iR,
NGC161,IC1557,GALXY,CET,0,35.6,-2,51,14.3,99.9,216,10,1.3m,0.8m,30,SO,,,,eF;eS;R;nearly bet 2 st,
NGC166,MCG-2-2-63,GALXY,CET,0,35.8,-13,37,15,99.9,261,10,0.9m,0.3m,145,Sa,,,,eF;S;lE;*11 np,
NGC163,MCG-2-2-66,GALXY,CET,0,36,-10,7,12.7,13.4,261,10,1.6m,1.2m,85,E0,,,,vF;vS,H III 954
NGC165,MCG-2-2-69,GALXY,CET,0,36.5,-10,6,13.1,13.7,261,10,1.6m,1.3m,50,SBbc,,,,F;L;st in centre;f of 2,
NGC168,ESO474-4,GALXY,CET,0,36.6,-22,36,13.8,12.3,306,18,1.2m,0.3m,26,Sa,,,,eF;S;E 30 degrees;*10 nf 3',
NGC170,MCG0-2-91,GALXY,CET,0,36.8,1,53,14.4,12,216,10,0.4m,0.3m,85,E-SO,,,,F;S;R,
NGC172,ESO474-5,GALXY,CET,0,37.2,-22,35,13.4,12.9,306,18,2m,0.3m,12,SBbc,,,,eF;S;E,
NGC173,UGC369,GALXY,CET,0,37.2,1,57,13,15.1,216,10,3.2m,2.6m,90,Sc,,,,vF;S;R;vgbM;*11 sp 80'',H III 871;UGC 369
NGC171,NGC175,GALXY,CET,0,37.4,-19,56,12.9,99.9,306,10,2.1m,1.9m,,SBab,,,,vF;pL;lE;2 pB st sf,H III 223?
NGC175,NGC171,GALXY,CET,0,37.4,-19,56,12.2,13.5,306,10,2.1m,1.9m,,SBab,,,,pB;pL;E;gbM;r,Theta structure
NGC177,ESO474-6,GALXY,CET,0,37.6,-22,33,13.2,13.2,306,18,2.2m,0.5m,9,Sab Ring,,,,eF;S;E 175 degrees;(?*),
NGC179,ESO540-7,GALXY,CET,0,37.8,-17,51,13.3,12.8,306,10,0.9m,0.7m,113,E-SO,,,,eF;eS;R;B * np,
NGC191,MCG-2-2-77,GALXY,CET,0,39,-9,0,14.1,99.9,261,10,1.4m,1.2m,125,Sbp,,,,pB;pL;iE 0 degrees,H II 479
NGC191A,IC1563,GALXY,CET,0,39,-9,1,14.1,99.9,261,10,1.2m,0.8m,143,SO,,,,,
NGC178,IC39,GALXY,CET,0,39.1,-14,10,12.6,13.2,261,10,2.1m,0.9m,175,SB/P,,,,F;S;mE 0 degrees;bM,
NGC209,ESO540-8,GALXY,CET,0,39.1,-18,37,12.9,13.3,306,10,1.3m,1.1m,,E-SO,,,,vF;vS;R;bM,
NGC192,UGC401,GALXY,CET,0,39.2,0,52,12.6,13.1,216,10,1.9m,0.9m,167,SBa,,,,F;pS;pmE;bM,H III 872;Brightest of 4;UGC 401
NGC196,UGC405,GALXY,CET,0,39.3,0,55,14,99.9,216,10,1.3m,0.8m,15,SBO,,,,F;pS;R;psmbM,H II 860;NGC 192 group;contact P w NGC 197
NGC197,UGC406,GALXY,CET,0,39.3,0,54,14.1,14,216,10,1.2m,0.8m,5,SO,,,,eF;s of 196,NGC 192 group
NGC187,MCG-3-2-34,GALXY,CET,0,39.5,-14,39,13.3,99.9,261,10,1.3m,0.5m,148,Sc,,,,F;S;mE 150 degrees;bM,
NGC195,MCG-2-2-79,GALXY,CET,0,39.6,-9,12,14.2,99.9,261,10,1.2m,0.9m,45,Sa Ring,,,,F,
NGC201,UGC419,GALXY,CET,0,39.6,0,52,12.9,13.8,216,10,1.8m,1.5m,155,SBc,,,,vF;cL;E;vglbM,H III 873;NGC 192 group;UGC 419
NGC207,MCG-3-2-35,GALXY,CET,0,39.7,-14,14,14.5,99.9,261,10,0.9m,0.4m,85,Sa,,,,vF;S;lE;stellar,
NGC210,MCG-2-2-81,GALXY,CET,0,40.6,-13,52,10.9,13.8,261,10,4.6m,3.2m,160,SBb,,,,B;pS;R;psbM;r;* 11 p 2',H II 452;F outer arms form encircling ring
UGC439,MCG+00-02-125,GALXY,CET,0,41.4,-1,43,13.2,13.2,216,10,1.1m,1.1m,170,Sa,,,,,
NGC216,ESO540-15,GALXY,CET,0,41.5,-21,3,13.2,13.5,306,18,2m,0.7m,27,SO,,,,eF;vS;lE,H III 244
NGC217,MCG-2-2-85,GALXY,CET,0,41.6,-10,1,13.5,99.9,261,10,2.7m,0.6m,110,Sa,,,,F;S;lE 90 degrees;glbM,H II 480
NGC219,MCG0-2-128,GALXY,CET,0,42.2,0,54,14.3,12.9,216,10,0.5m,0.4m,170,Elliptical,,,,F;S;R;*11 sp 1',
NGC223,IC44,GALXY,CET,0,42.3,0,51,13.2,13.1,216,10,1.3m,0.9m,62,SOa/Pec,,,,vF;pS;R,Peculiar
NGC230,ESO474-14,GALXY,CET,0,42.5,-23,38,14.7,12.8,306,18,1.1m,0.2m,44,Sa,,,,eF;eS;R;bMN,
NGC227,UGC456,GALXY,CET,0,42.6,-1,32,12.1,12.8,216,10,1.5m,1.2m,155,E2,,,,F;pL;lbM,H II 444;UGC 456
NGC232,ESO474-15,GALXY,CET,0,42.8,-23,34,13.5,13,306,18,0.9m,0.8m,,SBa,,,,eF;S;R;bMN,
NGC235A,ESO474-16,GALXY,CET,0,42.9,-23,33,14,99.9,306,18,1.3m,0.7m,117,SO,,,,,
NGC235B,ESO474-17,GALXY,CET,0,42.9,-23,33,14.5,99.9,306,18,1m,1m,,SO,,,,,
NGC237,UGC461,GALXY,CET,0,43.5,0,8,13,13.3,216,10,1.6m,0.9m,175,SBc,,,,vF;pS;lE;lbM,
NGC239,MCG-1-3-7,GALXY,CET,0,44.6,-3,46,14.8,99.9,216,10,1m,0.5m,20,Sab,,,,pF;pS;E 20 degrees;bMN;* 8 f 20 secs.,
NGC244,MCG-3-3-3,GALXY,CET,0,45.8,-15,36,13.7,99.9,261,10,1.2m,1m,50,SO Pec,,,,vF;S;iR;r;* 10 s 5',H III 485;A10
NGC245,UGC476,GALXY,CET,0,46.1,-1,43,12.2,12.6,216,10,1.3m,1.1m,145,Sb,,,,F;pS;iF;er,H II 445;Peculiar;UGC 476;Mrk 555
NGC246,PK118-74.1,PLNNB,CET,0,47.1,-11,52,10.4,13.5,261,10,240s,210s,,3b,,11.9,BCH,,H V 25;PK118-74.1;Galaxy NGC 255 15' NNE
NGC247,ESO540-22,GALXY,CET,0,47.1,-20,46,9.1,14.4,306,18,21m,5.6m,174,SBcd,,,CH,F;eL;vmE 172 degrees,H V 20
NGC255,MCG-2-3-17,GALXY,CET,0,47.8,-11,28,11.9,13.9,261,10,3.1m,2.7m,15,SBbc,,,,F;pS;R;gbM,H II 472
NGC259,MCG-1-3-15,GALXY,CET,0,48.1,-2,47,13.3,99.9,217,10,2.9m,0.6m,139,Sbc,,,,F;S;E 135 degrees;lbM,H II 703=H II 621
NGC263,MCG-2-3-21,GALXY,CET,0,48.8,-13,6,14,99.9,262,10,0.7m,0.3m,45,Sbc,,,,eF;vS;lE 30 degrees,
NGC268,MCG-1-3-17,GALXY,CET,0,50.2,-5,12,13.1,13.6,217,10,1.6m,1.1m,95,SBbc,,,,vF;pS;ilE;r,H III 463
NGC270,MCG-2-3-27,GALXY,CET,0,50.5,-8,39,12.9,99.9,262,10,1.8m,1.6m,25,Sa,,,,pF;vS;iR;pgbM,H III 955
NGC271,UGC519,GALXY,CET,0,50.7,-1,55,12,13.3,217,10,2.2m,1.7m,130,SBab,,,,pF;S;lE;psbM;* 8 f 5 sec.,H II 446;UGC 519
NGC273,MCG-1-3-19,GALXY,CET,0,50.8,-6,53,12.9,13.2,262,10,2.1m,0.6m,100,SO,,,,vF;vS,H III 430
NGC274,MCG-1-3-21,GALXY,CET,0,51,-7,3,11.8,12.6,262,10,1.9m,1.4m,25,E1,,,,pB;pS;smbM;np of 2,H III 429;V V 81;Arp 140
NGC275,VV81;Arp140,GALXY,CET,0,51.1,-7,4,12.5,12.9,262,10,1.5m,1.2m,140,Sbp,,,,vF;S;R;sf of 2,
NGC277,MCG-2-3-28,GALXY,CET,0,51.3,-8,36,13.4,99.9,262,10,1.4m,1.2m,50,E-SO,,,,F;pS;* 11 np,
NGC276,IC1591,GALXY,CET,0,52.1,-22,41,14.9,13.8,307,18,1m,0.4m,90,SBb,,,,eF;pS;E 265 degrees;* 11 n 3',
NGC279,UGC532,GALXY,CET,0,52.1,-2,13,12.7,13.3,217,10,1.6m,1.2m,5,Sa,,,,vF;S;iR;bM;stellar,H III 439;UGC 532;Mrk 558
NGC283,MCG-2-3-31,GALXY,CET,0,53.2,-13,10,14.2,99.9,262,10,1.6m,1m,160,Sc,,,,eF;S;R;1st of 4,
NGC284,MCG-2-3-33,GALXY,CET,0,53.4,-13,10,15,99.9,262,10,0.8m,0.8m,,Elliptical,,,,eF;S;R;2nd of 4,
NGC285,KAZ377,GALXY,CET,0,53.5,-13,10,15.2,99.9,262,10,0.7m,0.4m,10,E-SO,,,,eF;S;R;3rd of 4,
NGC286,MCG-2-3-34,GALXY,CET,0,53.5,-13,7,14.4,99.9,262,10,1.3m,0.9m,175,SO,,,,eF;S;R;4th of 4,
NGC291,MCG-2-3-35,GALXY,CET,0,53.5,-8,46,14.5,99.9,262,10,1.1m,0.6m,70,Sa,,,,vF;vS;lE;alm stellar,
NGC293,MCG-1-3-30,GALXY,CET,0,54.3,-7,14,14.7,99.9,262,10,1.1m,0.9m,145,SBb,,,,vF;S,
NGC303,,GALXY,CET,0,54.9,-16,39,16.1,99.9,262,10,0.7m,0.3m,158,S,,,,eF;vS,
NGC297,,GALXY,CET,0,55,-7,21,16.5,99.9,262,10,0.3m,0.2m,95,EO,,,,eF,
NGC298,MCG-1-3-33,GALXY,CET,0,55,-7,20,13.5,99.9,262,10,1.7m,0.4m,87,Sc,,,,pF,
NGC301,,GALXY,CET,0,56.3,-10,40,15.6,99.9,262,10,0.7m,0.5m,70,SO,,,,eF;S;iR;gbM;* 8 p 30 sec.,
NGC302,,1STAR,CET,0,56.3,-10,41,99.9,99.9,262,10,,,,,,,,eF;vS,
NGC307,UGC584,GALXY,CET,0,56.5,-1,46,12.8,12.8,217,10,1.6m,0.7m,85,SO,,,,pF;S;E,
NGC308,,1STAR,CET,0,56.6,-1,47,14,99.9,217,10,,,,,,,,vF;eS; 1' sF NGC 307,
NGC309,MCG-2-3-50,GALXY,CET,0,56.7,-9,55,11.9,14,262,10,3m,2.4m,175,SBc Ring,,,,pB;pL;* 12.13 n,Fine spiral
NGC310,,1STAR,CET,0,56.8,-1,46,99.9,99.9,217,10,,,,,,,,stellar,
NGC331,MCG-1-3-39,GALXY,CET,0,57.1,-2,46,15.5,99.9,217,10,0.7m,0.3m,160,SBc,,,,eF;vS;R;lbM;* 12 nf 3',
NGC321,MCG-1-3-43,GALXY,CET,0,57.7,-5,5,15.7,99.9,217,10,0.4m,0.3m,95,Compact,,,,eF;vS,
NGC325,MCG-1-3-45,GALXY,CET,0,57.8,-5,7,16,99.9,217,10,1.3m,0.2m,93,Sc,,,,vF;vS,
NGC327,MCG-1-3-47,GALXY,CET,0,57.9,-5,8,13.4,13.3,217,10,1.5m,0.6m,177,Sbc,,,,F;S;E,
NGC329,MCG-1-3-48,GALXY,CET,0,58,-5,4,13.3,13.1,217,10,1.5m,0.6m,19,Sb,,,,F;E,
NGC336,ESO541-2,GALXY,CET,0,58,-18,23,12,99.9,307,10,0.7m,0.2m,22,S pec,,,,vF;vS;R;sbM,
NGC343,,1STAR,CET,0,58.4,-23,14,14,99.9,307,18,,,,,,,,eF;vS;iR;sbMN;(?*),
NGC344,,GALXY,CET,0,58.4,-23,14,16,99.9,307,18,0.6m,0.3m,10,S,,,,eF;vS;iR;sbMN;(?*),
MCG-03-03-011,,GALXY,CET,0,58.8,-18,47,12.5,13.9,307,10,3m,1.4m,22,,,,,Inner Regions Very Black--MCG,Mostly Face On
NGC320,ESO541-3,GALXY,CET,0,58.8,-20,50,13.5,12.4,307,18,0.8m,0.5m,159,SBO-a Ring,,,,vF;pS;E 160 degrees;* 10 n,
NGC333,MCG-3-3-13,GALXY,CET,0,58.9,-16,28,14.5,99.9,262,10,1.6m,0.9m,119,Elliptical,,,,,
NGC335,ESO541-6,GALXY,CET,0,59.3,-18,14,14.3,13,307,10,1.1m,0.3m,137,Sbc,,,,vF;pS;E;bM,
NGC337,MCG-1-3-53,GALXY,CET,0,59.8,-7,35,11.6,13.3,262,10,3m,1.8m,140,SBcd,,,,pF;L;E;glbM;* 10 f 21 sec,H II 433;Coarse spiral pattern
NGC340,MCG-1-3-55,GALXY,CET,1,0.6,-6,52,14,99.9,262,10,0.9m,0.4m,70,Sb,,,,vF;S;E,
NGC341,NGC341A,GALXY,CET,1,0.8,-9,11,13.7,99.9,262,10,1.2m,1.1m,160,SB Ring,,,,,
NGC341A,NGC341,GALXY,CET,1,0.8,-9,11,13,99.9,262,10,1.2m,1.1m,160,SB Ring,,,,F;pL;R;lbM;r,
NGC341B,MCG-2-3-64,GALXY,CET,1,0.8,-9,11,15,99.9,262,10,0.3m,0.2m,0,,,,,,
NGC342,MCG-1-3-58,GALXY,CET,1,0.8,-6,46,14.5,99.9,262,10,0.8m,0.4m,100,Elliptical,,,,vF;VS,
NGC345,MCG-1-3-64,GALXY,CET,1,1.4,-6,53,13.5,99.9,262,10,1.2m,0.8m,135,Sa,,,,vF;vS;gbM,
NGC337A,MCG-1-3-65,GALXY,CET,1,1.6,-7,35,12.2,15.6,262,10,6.1m,4.6m,10,SBd,,,,,
NGC347,MCG-1-3-63,GALXY,CET,1,1.6,-6,44,14.5,99.9,262,10,0.6m,0.4m,110,S,,,,vF;vS,
NGC349,MCG-1-3-68,GALXY,CET,1,1.8,-6,48,13.5,99.9,262,10,1.2m,0.9m,70,E-SO,,,,vF;vS,
NGC350,MCG-1-3-69,GALXY,CET,1,1.9,-6,48,15,99.9,262,10,0.7m,0.5m,90,E-SO,,,,eF,
NGC351,UGC639,GALXY,CET,1,2,-1,56,13.2,13.1,217,10,1.5m,0.8m,142,SBO-a,,,,eF;pS;np of 2,
NGC352,MCG-1-3-71,GALXY,CET,1,2.2,-4,15,12.6,13.3,217,10,2.4m,0.8m,170,SBbc,,,,pF;S;iE;* 8 f 97 sec,H III 191
NGC353,UGC641,GALXY,CET,1,2.4,-1,57,13.6,12.9,217,10,1.3m,0.4m,26,SBab,,,,eF;pS;R;sf of 2,
NGC355,MCG-1-3-77,GALXY,CET,1,3.1,-6,19,15,99.9,262,10,1m,0.4m,55,SO,,,,eF;vS,
NGC356,MCG-1-3-78,GALXY,CET,1,3.1,-6,59,13.5,99.9,262,10,1.5m,0.8m,70,Sbc,,,,vF;S;iR,
NGC357,MCG-1-3-81,GALXY,CET,1,3.4,-6,20,12,13.4,262,10,2.5m,1.7m,20,SBO-a,,,,F;S;iR;sbM;* 14 nf 20'',H II 434
NGC359,UGC662,GALXY,CET,1,4.3,0,46,13.3,13.6,217,10,1.5m,1.1m,135,E-SO,,,,eF;vS,
NGC364,UGC666,GALXY,CET,1,4.7,0,48,13.1,13.6,217,10,1.4m,1.2m,30,SO,,,,vF;vS,
IC1613,UGC668,GALXY,CET,1,4.9,2,8,9.2,15,217,10,16.6m,14.9m,50,Ir,,,C,F;eL,Member of Local Group
New1,MCG-01-03-085,GALXY,CET,1,5.1,-6,13,11.8,14.4,262,10,4.5m,3.5m,,S,,,,F;R; outer arms dim,
NGC369,ESO541-17,GALXY,CET,1,5.1,-17,46,13.8,13.3,307,10,1m,0.8m,52,SBb,,,,vF;vS;R;gbM,
NGC367,,GALXY,CET,1,5.8,-12,8,15.5,99.9,262,10,0.9m,0.5m,15,SO,,,,eF;pS;E 175 degrees;bn;3 st 12 np,
NGC363,MCG-3-3-23,GALXY,CET,1,6.3,-16,33,15,99.9,262,10,0.6m,0.5m,49,SO,,,,eF;eS;R,
NGC377,ESO541-19,GALXY,CET,1,6.6,-20,20,15.7,99.9,307,18,0.8m,0.2m,17,Sb,,,,vF;vS;mE;sbMN,
NGC391,UGC693,GALXY,CET,1,7.4,0,56,13.4,12.8,217,10,0.9m,0.7m,45,Elliptical,,,,F;S;r (Auw.9),
UGC711,MCG+00-04-008,GALXY,CET,1,8.7,1,39,14,99.9,217,10,3.9m,0.7m,118,Sc,,,,,
NGC412,,NONEX,CET,1,10.3,-20,1,99.9,99.9,307,18,,,,,,,,vF;eS;R;sbMN;(neb?),
NGC417,ESO541-24,GALXY,CET,1,11.1,-18,9,14.1,12.8,307,10,0.6m,0.5m,55,E-SO Bar,,,,eF;eS;R,
NGC413,MCG-1-4-13,GALXY,CET,1,12.5,-2,48,16,99.9,217,10,1.2m,0.7m,25,Sc,,,,eF;pS;vlE,
NGC426,UGC760,GALXY,CET,1,12.8,0,17,12.9,13.2,217,10,1.4m,1m,140,Elliptical,,,,vF;vS;R,H III 592;NGC 430 group
NGC428,UGC763,GALXY,CET,1,12.9,0,59,11.5,14.1,217,10,4m,2.9m,120,Scp,,,,F;L;R;bM;er,H II 622;patchy central region;UGC 763
NGC429,UGC762,GALXY,CET,1,13,0,21,13.4,12.3,217,10,1.4m,0.3m,19,SO,,,,vF;vS,H III 593;NGC 430 group
NGC430,UGC765,GALXY,CET,1,13,0,15,12.5,12.9,217,10,1.3m,1.1m,155,Elliptical,,,,F;vS;R;vsbM*,H II 447;Brightest of 3
NGC435,UGC779,GALXY,CET,1,14,2,4,14.2,13.3,217,10,1.1m,0.4m,12,Scd,,,,eF;S;E,
NGC442,UGC789,GALXY,CET,1,14.6,-1,1,13.4,12.5,217,10,1m,0.5m,157,Sa,,,,vF;S;R;B * sf,
NGC445,ZwG385.47,GALXY,CET,1,14.9,1,55,14.1,13.2,217,10,0.8m,0.7m,135,SO,,,,vF;vS,
NGC448,UGC801,GALXY,CET,1,15.3,-1,38,12.1,12.2,217,10,1.6m,0.8m,116,E-SO,,,,pB;vS;lE,H II 531
NGC450,UGC806,GALXY,CET,1,15.5,0,52,11.5,13.5,217,10,3m,2.4m,72,SBc,,,,vF;L,H III 440;UGC 807 Superimposed
NGC478,ESO476-3,GALXY,CET,1,20.1,-22,23,15,99.9,308,18,0.9m,0.7m,,S pec,,,,eF;eS;R;sbMN,H III 252
NGC480,,GALXY,CET,1,20.6,-9,53,16.3,99.9,263,10,0.5m,0.2m,65,Sa,,,,eF;vS;R;(neb),
NGC481,MCG-2-4-30,GALXY,CET,1,21.2,-9,13,14,99.9,263,10,1.7m,1.3m,85,E-SO,,,,vF;vS;R;F* np,
NGC487,MCG-3-4-56,GALXY,CET,1,21.9,-16,22,14,99.9,263,10,1.1m,0.7m,112,Sa,,,,eF;vS;R,
