HIP,RA,DEC,V,PARX,SIGPX,B-V,SIGBV,CCDM,HD,BD
64452,13 12 39.80,+76 17 02.4,8.86,7.68,0.72,0.391,0.017,          ,115180,B+77  505 
64475,13 12 54.40,-30 42 43.7,8.03,37.45,1.1,0.923,0.002,          ,114747,          
64484,13 13 03.50,+38 16 38.6,6.83,16.41,0.75,0.474,0.004,          ,114905,B+39 2620 
64492,13 13 09.30,+68 58 48.1,8.42,8.58,0.8,0.447,0.015,          ,115089,B+69  692 
64494,13 13 10.70,-61 53 31.2,8.83,7.69,1.19,0.597,0.014,          ,114668,          
64497,13 13 13.10,-08 55 54.2,8.92,14.16,1.19,0.684,0.028,          ,114826,B- 8 3508 
64498,13 13 13.80,-02 33 20.3,7.56,16.02,1.53,0.539,0.015,13132-0233,114842,B- 1 2786 
64499,13 13 13.40,-05 01 24.4,8.28,20.23,1.21,0.735,0.002,          ,114823,B- 4 3439 
64500,13 13 13.40,+59 57 48.1,9.35,12.56,1.09,0.721,0.025,          ,      ,B+60 1453 
64502,13 13 14.20,+46 29 38.3,8.41,11.54,0.94,0.545,0.012,          ,114957,B+47 2031 
64510,13 13 20.20,+31 50 08.5,10.42,6.16,1.66,0.672,0.064,          ,      ,B+32 2329 
64511,13 13 21.00,-13 28 16.0,7.57,13.22,0.91,0.47,0.009,          ,114845,B-12 3779 
64516,13 13 23.80,+27 29 30.5,9.64,4.75,1.3,0.626,0.035,          ,      ,B+28 2198 
64526,13 13 28.90,-12 13 28.9,10.21,6.89,1.61,0.5,0.02,          ,      ,B-11 3462 
64535,13 13 40.30,-04 22 37.4,8.68,12.33,1.36,0.648,0.032,          ,114906,B- 3 3428 
64538,13 13 41.00,+46 28 34.6,8.55,17.43,0.96,0.64,0.012,          ,115020,B+47 2033 
64544,13 13 45.20,-26 30 57.0,8.62,12.98,1.1,0.649,0.016,          ,114884,          
64547,13 13 47.30,-06 55 13.5,8.97,6.32,1.14,0.569,0.031,          ,114916,B- 6 3769 
64549,13 13 51.00,+27 50 35.1,9.92,6.41,1.46,0.526,0.026,          ,      ,B+28 2199 
64550,13 13 52.30,-45 11 07.9,6.93,40.87,0.84,0.643,0.001,          ,114853,          
64551,13 13 52.90,+25 41 54.1,7.3,12.55,0.9,0.466,0.006,          ,114989,B+26 2439 
64566,13 14 03.60,+09 46 26.1,8.59,10.86,1.31,0.83,0.015,          ,114991,B+10 2523 
64570,13 14 05.00,-32 15 15.1,9.08,10.4,1.5,0.575,0.031,13141-3215,114918,          
64573,13 14 09.30,-16 33 30.2,8.18,21.74,2.08,0.817,0.001,13142-1634,114944,B-15 3621 
64574,13 14 09.30,-14 16 55.6,7.91,8.99,0.92,0.605,0.012,          ,114962,B-13 3671 
64575,13 14 10.60,+00 09 50.4,9.24,10.17,1.28,0.508,0.03,          ,114992,B+ 0 3036 
64594,13 14 23.60,-29 15 43.9,9.04,13.11,1.27,0.66,0.02,          ,114964,          
64595,13 14 24.70,-05 01 37.7,9.95,11.4,1.8,0.69,0.02,          ,      ,B- 4 3444 
64596,13 14 25.10,+45 10 50.0,8.81,5.84,1.01,0.449,0.014,          ,115120,B+45 2096 
64597,13 14 25.10,-35 26 23.4,7.81,11.64,1.06,0.512,0.014,          ,114947,          
64599,13 14 25.80,+45 35 09.2,9.42,12.39,1.19,0.606,0.023,          ,115119,B+46 1856 
64604,13 14 28.60,+53 48 56.0,9.06,6.87,1.03,0.34,0.024,          ,115163,B+54 1581 
64606,13 14 30.00,+51 36 15.5,9.71,6.43,1.24,0.413,0.031,          ,234023,B+52 1686 
64614,13 14 37.00,+29 24 04.6,8.66,6.07,1.06,0.492,0.011,          ,115103,B+30 2384 
64615,13 14 37.40,+15 17 09.5,8.68,11.9,1.39,0.455,0.021,          ,115074,B+16 2483 
64621,13 14 40.50,-79 17 28.6,8.81,11.88,0.86,0.605,0.016,          ,114555,          
64626,13 14 46.60,+57 01 04.5,9.72,17.87,1.19,0.813,0.002,          ,238208,B+57 1428 
64655,13 15 12.30,+84 45 07.6,7.27,18.64,0.53,0.53,0.008,          ,116459,B+85  222 
64656,13 15 13.30,-19 12 17.1,8.53,10.05,1.06,0.66,0.019,          ,115106,B-18 3565 
64659,13 15 14.40,-40 23 19.0,7.79,12.41,1.06,0.795,0.015,          ,115053,          
64668,13 15 19.10,+52 16 41.2,9.05,16.01,1.1,0.6,0.015,          ,115269,B+53 1608 
64670,13 15 20.30,-24 00 02.0,8.32,12.49,0.89,0.468,0.015,          ,115123,          
64671,13 15 20.40,+55 18 47.3,10.13,9.27,1.24,0.573,0.045,          ,238210,B+56 1646 
64673,13 15 20.70,-55 20 28.5,8.33,16.12,1.2,0.63,0.012,          ,115031,          
64674,13 15 21.00,-01 44 45.7,8.8,6.3,1.16,0.686,0.02,          ,115152,B- 0 2672 
64675,13 15 21.70,+07 29 33.3,8.68,8.5,1.05,0.677,0.019,          ,115184,B+ 8 2689 
64676,13 15 22.40,-53 41 35.8,8.99,8.95,1.28,0.595,0.02,          ,115030,          
64679,13 15 23.70,+64 56 20.4,9.74,15.48,1.09,0.747,0.04,          ,      ,B+65  924 
64680,13 15 24.70,+03 13 10.7,9.02,11.73,1.07,0.614,0.023,          ,115167,B+ 3 2747 
64685,13 15 27.70,-25 19 30.7,9.81,13.95,1.47,0.768,0.003,          ,      ,          
64687,13 15 28.30,-39 41 35.1,8.7,7.77,1.26,0.639,0.019,          ,115092,          
64688,13 15 30.70,-08 03 19.1,8.06,22.7,0.96,0.705,0.016,          ,115153,B- 7 3572 
64691,13 15 32.00,+36 35 58.9,8.72,8.08,1.02,0.471,0.013,          ,115255,B+37 2387 
64695,13 15 36.10,-34 31 03.5,9.44,11.68,1.68,0.65,0.004,          ,115126,          
64698,13 15 37.10,+09 00 58.8,8.42,18.8,1.16,0.667,0.004,          ,115231,B+ 9 2736 
64701,13 15 38.70,+34 10 57.2,7.94,13.76,0.85,0.503,0.015,          ,115272,B+34 2408 
64707,13 15 44.10,+10 15 01.6,8.91,5.4,1.23,0.453,0.024,          ,115230,B+11 2550 
64713,13 15 47.40,-29 30 20.5,9.26,14.34,1.17,0.664,0.029,          ,115169,          
64714,13 15 48.30,+48 50 01.8,9.49,16.18,1.38,0.725,0.003,          ,      ,B+49 2205 
64726,13 15 59.20,+04 38 48.3,8.39,20.58,0.96,0.616,0.018,          ,115273,B+ 5 2730 
64733,13 16 03.90,+03 57 51.0,8.19,7.84,0.89,0.569,0.015,          ,115274,B+ 4 2712 
64738,13 16 06.00,-21 55 02.5,8.11,10.18,0.9,0.59,0.012,          ,115233,B-21 3681 
64741,13 16 08.10,-54 07 24.8,9.31,5.7,1.62,0.571,0.024,          ,115145,          
64743,13 16 09.20,-84 27 46.2,8.58,8.45,0.79,0.492,0.013,          ,114298,          
64744,13 16 09.60,+58 12 23.4,8.82,8.71,0.9,0.508,0.018,          ,115458,B+58 1431 
64756,13 16 16.20,+55 50 16.7,9.3,6.26,1.02,0.508,0.02,          ,115459,B+56 1647 
64759,13 16 18.50,+25 55 15.0,8.54,7.88,1.24,0.458,0.001,          ,115350,B+26 2444 
64761,13 16 19.80,+27 44 07.0,8.24,22.69,1.11,0.717,0.002,          ,115339,B+28 2205 
64763,13 16 21.80,-33 47 43.6,11.78,26.53,2.99,1.397,0.012,          ,      ,          
64771,13 16 27.50,+46 13 26.9,8.9,5.74,1.12,0.436,0.019,          ,115443,B+46 1859 
64780,13 16 32.40,+31 31 59.7,9.36,17.87,1.32,0.747,0.027,          ,115380,B+32 2335 
64783,13 16 40.00,-05 34 24.2,7.84,19.6,1.12,0.588,0.015,          ,115341,B- 4 3453 
64787,13 16 43.00,+38 27 03.4,9.18,6.29,1.31,0.598,0.017,          ,115461,B+39 2624 
64788,13 16 43.50,+33 52 12.4,9.66,7.88,1.22,0.531,0.028,          ,      ,B+34 2409 
64794,13 16 48.30,+12 24 57.4,8.42,18.34,1.3,0.63,0.015,          ,115382,B+13 2648 
64795,13 16 49.60,+05 55 33.0,9.02,6.81,1.23,0.49,0.02,          ,115385,B+ 6 2720 
64812,13 17 01.20,+57 16 58.4,9.2,9.15,1.02,0.476,0.026,          ,115587,B+58 1434 
64819,13 17 12.20,-12 31 32.9,8.14,10.89,1.05,0.466,0.015,          ,115427,B-11 3476 
64825,13 17 19.80,-51 21 13.7,9.9,9.03,1.88,0.534,0.042,          ,      ,          
64826,13 17 19.80,+32 29 16.4,7.67,16.33,0.89,0.526,0.011,          ,115519,B+33 2320 
64830,13 17 24.30,-36 49 02.1,8.96,9.66,1.71,0.61,0.024,          ,115393,          
64835,13 17 28.70,-40 32 38.1,9.25,15.33,2.74,0.773,0.028,13175-4033,115370,          
64848,13 17 34.20,+22 38 30.3,9.12,18.43,1.2,0.747,0.023,          ,115557,B+23 2556 
64857,13 17 37.70,-45 20 44.7,8.99,6.69,1.36,0.554,0.02,          ,115397,          
64862,13 17 42.20,+56 24 02.0,8.85,8.44,0.92,0.465,0.019,          ,115691,B+57 1433 
64864,13 17 43.60,+35 53 28.8,9.62,5.19,1.22,0.566,0.026,          ,      ,B+36 2359 
64877,13 17 55.40,-61 00 38.7,8.47,8.77,1.1,0.456,0.015,          ,115361,          
64879,13 17 57.30,+27 27 12.4,8.57,7.93,1.26,0.57,0.01,          ,115613,B+28 2207 
64880,13 17 58.40,+36 17 59.8,11.28,46.25,2.12,1.356,0.005,          ,      ,          
64885,13 18 00.50,+20 59 54.2,8.81,8.2,1.27,0.498,0.001,          ,115614,B+21 2510 
64889,13 18 04.60,+40 31 47.0,8.25,7.88,0.96,0.482,0.008,          ,115654,B+41 2381 
64891,13 18 04.90,-53 12 44.6,9,8.61,2.3,0.5,0.495,13181-5313,115433,          
64895,13 18 06.00,-14 46 46.0,10.88,36.04,2.22,1.344,0.006,          ,      ,B-14 3687 
64898,13 18 08.40,+51 29 52.3,9.26,10.52,1.13,0.529,0.023,          ,115734,B+52 1691 
64905,13 18 13.60,-14 34 54.1,9.57,14.98,1.68,0.864,0.004,          ,115589,B-13 3685 
64922,13 18 24.40,+32 46 40.6,8.47,10.49,0.96,0.455,0.014,          ,115707,B+33 2324 
64923,13 18 24.60,+48 54 20.1,9.33,10.19,1.22,0.737,0.022,          ,      ,B+49 2208 
64924,13 18 24.90,-18 18 31.0,4.74,117.3,0.71,0.709,0.007,13185-1818,115617,B-17 3813 
64934,13 18 36.30,-57 27 15.4,9.43,24.54,1.78,0.907,0.02,          ,115483,          
64939,13 18 41.80,+07 11 11.1,8.44,13.37,1.09,0.63,0.015,          ,115692,B+ 7 2631 
64944,13 18 45.30,-17 08 01.3,7.46,14.05,0.87,0.611,0.01,          ,115642,B-16 3635 
64949,13 18 47.50,+07 35 16.5,10.24,11.94,1.61,0.73,0.02,          ,      ,B+ 8 2695 
64950,13 18 47.60,+47 08 25.2,8.13,13.2,0.95,0.425,0.012,          ,115809,B+47 2048 
64952,13 18 49.60,-13 11 44.4,8.95,8.22,1.31,0.846,0.027,          ,115680,B-12 3789 
64955,13 18 51.30,+24 36 41.4,8.52,16.57,1.11,0.71,0.015,13189+2436,115762,B+25 2619 
64957,13 18 53.10,-53 13 17.6,8.96,16.64,1.4,0.746,0.002,          ,115566,          
64966,13 18 57.20,-25 15 19.7,8.96,12.54,1.29,0.652,0.002,          ,115682,          
64974,13 19 00.40,+37 23 03.8,9.71,7.5,1.39,0.779,0.027,          ,      ,B+38 2428 
64984,13 19 06.80,+02 54 12.8,7.69,29.57,1.01,0.671,0.015,          ,115755,B+ 3 2757 
64985,13 19 08.50,-37 40 04.0,8.6,6.63,1.24,0.554,0.015,          ,115663,          
64993,13 19 17.60,-15 34 02.4,8.86,14.76,1.23,0.63,0.021,          ,115739,B-14 3690 
64996,13 19 21.60,-24 37 09.6,8.26,17.13,1,0.511,0.015,          ,115740,          
65001,13 19 25.00,+21 03 54.2,8.97,9.66,1.29,0.626,0.015,          ,115829,B+21 2515 
65004,13 19 26.50,-11 08 54.2,8.22,9.39,0.93,0.48,0.016,          ,115766,B-10 3651 
65005,13 19 26.60,+22 49 40.0,8.45,7.04,1.17,0.486,0.014,          ,115850,B+23 2560 
65010,13 19 33.00,-63 45 19.6,7.63,16.11,1.51,0.491,0.006,13195-6345,115602,          
65017,13 19 40.40,-57 14 35.7,9.81,7.64,1.87,0.821,0.029,          ,115651,          
65018,13 19 42.30,+23 03 40.1,9.6,11.69,1.67,0.7,0.015,          ,      ,B+23 2561 
65034,13 19 50.70,-61 30 47.9,9.01,12.65,1.24,0.536,0.003,          ,115667,          
65036,13 19 51.20,-70 51 17.8,7.43,23.05,0.7,0.742,0.01,          ,115585,          
65039,13 19 53.60,+28 06 16.9,8.27,7.26,0.97,0.455,0.013,          ,115929,B+28 2213 
65040,13 19 55.50,+06 51 27.6,9.77,15.43,1.32,0.654,0.011,          ,      ,B+ 7 2634 
65042,13 19 56.60,+38 22 08.4,8.34,11.78,0.97,0.684,0.01,          ,115954,B+39 2631 
65046,13 19 58.50,-41 11 26.5,6.73,18.25,0.85,0.519,0.007,          ,115773,          
65052,13 20 02.80,+52 58 37.1,9.36,6.66,1.13,0.509,0.025,          ,116026,B+53 1615 
65057,13 20 07.80,+59 51 42.5,7.96,13.83,0.73,0.635,0.011,          ,116091,B+60 1458 
65058,13 20 08.10,-59 26 27.7,9.55,8.08,1.59,0.544,0.026,          ,115716,          
65060,13 20 08.80,+46 29 00.7,9.1,7.27,1.16,0.611,0.022,          ,116027,B+47 2050 
65077,13 20 21.90,-43 57 10.4,9.45,10.52,1.39,0.605,0.031,          ,115819,          
65078,13 20 22.00,-09 03 34.9,8.75,18.06,1.35,0.654,0.023,          ,115902,B- 8 3537 
65090,13 20 27.20,+19 41 28.1,9.37,6.49,1.23,0.496,0.015,          ,115980,B+20 2824 
65098,13 20 30.10,-50 41 14.8,9.58,7.75,1.47,0.645,0.032,          ,115822,          
65114,13 20 38.60,+36 40 32.8,8.4,16.84,0.98,0.576,0.015,          ,116057,B+37 2399 
65116,13 20 39.30,-14 46 20.6,8.37,24.36,1.23,0.645,0.02,          ,115957,B-14 3698 
65120,13 20 43.90,+10 52 34.9,11.62,25.43,3.64,1.49,0.02,          ,      ,          
65121,13 20 44.00,+04 07 56.8,8.58,32.83,1.08,0.939,0.001,          ,116012,B+ 4 2729 
65126,13 20 47.20,-52 15 20.4,8.72,12.36,1.26,0.569,0.017,          ,115855,          
65133,13 20 50.20,+09 55 59.6,9.9,26.22,1.68,1.14,0.015,          ,      ,B+10 2540 
65137,13 20 53.30,-26 57 05.3,9.67,11.67,1.46,0.71,0.02,          ,115960,          
65141,13 20 56.00,-28 10 19.6,9.32,12.78,1.38,0.642,0.035,          ,115972,          
65143,13 20 57.70,+34 16 46.8,10.62,62.13,1.76,1.512,0,          ,      ,B+35 2439 
65146,13 20 58.90,-60 05 14.6,9.65,14.9,1.59,0.747,0.002,          ,115844,          
65155,13 21 08.80,-40 20 12.9,8.58,10.43,1.24,0.605,0.016,          ,115962,          
65164,13 21 12.40,-32 14 34.3,9.58,8.78,1.79,0.665,0.04,          ,115986,          
65165,13 21 12.30,+61 05 05.0,8.48,25.29,0.82,0.76,0.014,          ,116272,B+61 1353 
65167,13 21 15.30,-53 21 25.9,8.4,7.08,1.14,0.488,0.014,          ,115916,          
65171,13 21 22.00,-32 12 57.7,9.71,8.32,1.71,0.787,0.048,          ,116015,          
65176,13 21 23.50,-64 02 58.7,7.37,18.86,1.49,0.582,0.008,13214-6403,115863,          
65204,13 21 47.40,+05 49 33.5,9.16,10.07,2.95,0.491,0.038,13218+0550,116174,B+ 6 2733 
65212,13 21 51.70,+55 54 04.2,9.34,9.19,1.04,0.513,0.015,          ,238221,B+56 1655 
65216,13 21 56.60,+22 18 39.3,8.27,16.67,1.15,0.571,0.004,          ,116234,B+23 2564 
65222,13 21 59.20,-28 56 45.3,9.24,10.04,1.24,0.6,0.02,          ,116130,          
65227,13 22 02.90,+35 37 49.8,8.25,9.9,1.1,0.44,0.015,13220+3538,116273,B+36 2366 
65228,13 22 02.80,+57 09 25.1,9.7,4.93,1.16,0.528,0.015,          ,238222,B+57 1435 
65232,13 22 05.70,-09 03 35.0,8.71,14.98,1.32,0.594,0.002,          ,116190,B- 8 3540 
65240,13 22 08.30,+13 09 19.4,9.34,4.49,1.27,0.543,0.028,          ,      ,B+13 2660 
65246,13 22 15.20,+26 41 22.3,9.28,6.32,1.38,0.425,0.009,          ,      ,B+27 2244 
65252,13 22 20.90,+24 18 03.3,9.65,7.72,1.45,0.619,0.015,          ,      ,B+25 2626 
65264,13 22 29.50,-27 49 39.3,10.02,10.63,1.49,0.71,0.02,          ,116212,          
65266,13 22 32.30,-22 57 10.1,8.14,13.65,3.37,0.561,0.018,13226-2257,116219,B-22 3572 
65269,13 22 34.10,-22 57 07.4,8.34,27.25,7.02,0.667,0.096,13226-2257,116220,B-22 3573 
65274,13 22 40.40,+35 55 42.9,8.86,8.74,1.21,0.801,0.02,13227+3556,116378,B+36 2368 
65275,13 22 43.70,-18 01 50.9,8.07,17.4,0.91,0.721,0.016,          ,116259,B-17 3833 
65276,13 22 44.00,+47 11 12.7,9.26,18.15,1.19,0.79,0.023,          ,      ,B+47 2052 
65277,13 22 44.10,+16 16 00.4,9.17,7.14,1.21,0.407,0.015,          ,116317,B+17 2619 
65281,13 22 45.10,-38 24 15.4,10.18,9.61,1.88,0.648,0.062,          ,116213,          
65282,13 22 45.30,+66 56 15.9,9.89,5.36,0.99,0.641,0.039,          ,      ,B+67  783 
65287,13 22 51.00,+65 45 35.2,8.72,11.14,0.76,0.524,0.02,          ,116592,B+66  805 
65291,13 22 53.00,-43 58 29.7,9.61,11.25,1.42,0.716,0.035,          ,116214,          
65302,13 23 01.40,-81 18 35.1,7.88,29.33,0.64,0.667,0.002,          ,115674,          
65308,13 23 04.70,+19 16 01.0,8.7,15.57,1.12,0.557,0.021,          ,116395,B+20 2830 
65312,13 23 09.90,-24 44 02.9,7.81,10.27,1.04,0.531,0.015,          ,116321,          
65317,13 23 13.60,-62 52 16.9,7.99,8.44,0.84,0.484,0.009,          ,116151,          
65322,13 23 18.10,+50 24 36.8,9.18,9.49,1.01,0.426,0.019,          ,116530,B+51 1837 
65331,13 23 25.20,+51 03 57.5,9.08,8.27,1.02,0.639,0.022,          ,116567,B+51 1838 
65333,13 23 25.80,-26 58 44.3,8.71,13.02,1.13,0.552,0.022,          ,116347,          
65345,13 23 33.50,+38 43 47.8,9.59,6.14,1.23,0.501,0.015,          ,      ,B+39 2641 
65346,13 23 33.60,-37 33 51.9,9.28,16.96,1.35,0.749,0.027,          ,116323,          
65347,13 23 36.20,+33 22 25.4,9.26,8.59,1.18,0.694,0.023,          ,116514,B+34 2418 
65349,13 23 36.50,+15 27 02.6,9.21,4.55,1.22,0.435,0.025,          ,116460,B+16 2502 
65352,13 23 39.10,+02 43 22.2,7.06,62.41,1.41,0.78,0.015,13237+0243,116442,B+ 3 2765 
65353,13 23 39.20,+22 32 37.8,9.52,7.9,1.55,0.361,0.038,          ,116496,B+23 2565 
65355,13 23 40.80,+02 43 29.2,7.35,59.56,2.59,0.869,0.01,13237+0243,116443,B+ 3 2766 
65356,13 23 41.10,-15 07 04.3,8.18,18.68,1.04,0.661,0.016,          ,116410,B-14 3713 
65358,13 23 42.50,+12 56 50.5,9.26,6.17,1.56,0.48,0.015,13237+1257,      ,B+13 2661 
65377,13 23 54.20,-46 12 00.5,8.5,13.09,1.11,0.518,0.016,          ,116351,          
65383,13 23 58.40,-64 54 11.3,9.51,11.05,1.35,0.698,0.002,          ,116254,          
65384,13 23 59.20,-66 51 02.1,9.39,6.12,1.28,0.514,0.022,          ,116230,          
65391,13 24 05.00,-57 01 44.9,9.8,7.89,1.61,0.605,0.002,          ,116340,          
65393,13 24 08.40,-70 46 57.8,8.42,7.56,0.88,0.568,0.013,          ,116202,          
65401,13 24 16.00,+02 59 55.8,9.9,10.63,1.6,0.749,0.015,          ,      ,B+ 3 2768 
65403,13 24 18.20,-37 17 01.3,9.09,11.5,1.25,0.738,0.026,          ,116447,          
65407,13 24 21.00,+48 53 07.1,9.38,15.37,1.29,0.804,0.026,          ,      ,B+49 2212 
65427,13 24 37.00,+14 51 24.6,11.11,17.9,2.11,1.115,0.005,          ,      ,          
65429,13 24 38.70,+83 18 29.8,7.24,21.62,0.56,0.7,0.015,          ,117655,B+84  311 
65433,13 24 39.40,-70 25 47.7,7.25,18.68,0.67,0.849,0.003,          ,116284,          
65434,13 24 39.70,+51 08 39.9,8.83,8.71,0.96,0.532,0.019,          ,116752,B+51 1839 
65443,13 24 44.40,+35 15 57.0,9.71,4.56,1.34,0.38,0,          ,116694,B+36 2370 
65454,13 24 55.00,-37 58 54.4,9.81,7.68,1.84,0.611,0.003,          ,116551,          
65456,13 24 56.10,+37 32 01.9,9.28,6.51,1.45,0.668,0.022,          ,116723,B+38 2442 
65458,13 24 58.90,+37 26 06.5,8.51,6.29,1.03,0.427,0.001,          ,116737,B+38 2443 
65462,13 25 01.30,+53 18 03.0,8.75,13.75,0.99,0.566,0.019,          ,116799,B+54 1595 
65465,13 25 06.20,+56 03 55.2,11.16,8,2.27,0.703,0.122,          ,      ,          
65467,13 25 06.90,+27 58 46.4,8.77,6.45,1.18,0.481,0.015,          ,116724,B+28 2224 
65470,13 25 10.00,-78 57 07.5,7.89,15.28,0.69,0.452,0.017,          ,116089,          
65472,13 25 10.60,-31 11 54.6,8.4,18.19,0.99,0.609,0.017,          ,116614,          
65510,13 25 42.00,+18 36 22.8,8.81,9.67,1.16,0.527,0.021,          ,116801,B+19 2672 
65513,13 25 44.20,+37 50 33.1,8.63,7.31,1.1,0.485,0.018,          ,116843,B+38 2446 
65520,13 25 49.10,-28 22 25.4,11.04,61.5,2.29,1.522,0.025,          ,      ,          
65530,13 26 00.30,+63 15 38.7,6.5,46.86,0.55,0.739,0.001,          ,117043,B+64  949 
65541,13 26 08.80,+35 08 35.4,9.35,8.07,1.87,0.68,0.015,13261+3509,      ,B+35 2450 
65544,13 26 10.40,+20 48 43.9,8.61,8.16,1.09,0.49,0.015,          ,116866,B+21 2526 
65546,13 26 11.70,-26 11 08.1,8.72,7.45,1.1,0.531,0.019,          ,116770,          
65548,13 26 13.90,-14 47 34.8,9.35,10.35,1.33,0.763,0.04,          ,116804,B-14 3721 
65553,13 26 22.10,-13 03 23.8,8.86,12.13,1.39,0.556,0.023,          ,116832,B-12 3814 
65563,13 26 32.20,+06 25 23.3,8.76,9.49,1.21,0.418,0.019,          ,116893,B+ 7 2648 
65574,13 26 39.70,-24 17 35.5,8.77,32.95,1.31,0.92,0.006,13267-2418,116858,          
65579,13 26 41.80,+22 19 33.5,9.38,13.4,1.36,0.641,0.034,          ,116958,B+23 2570 
65583,13 26 44.40,+16 56 54.6,8.01,13.56,0.99,0.51,0.016,          ,116941,B+17 2627 
65584,13 26 45.80,-49 34 39.4,9.99,8.85,1.71,0.611,0.041,          ,      ,          
65589,13 26 53.30,+14 22 23.1,8.25,11.77,1.41,0.63,0.015,13269+1422,116959,B+15 2578 
65598,13 26 58.80,+15 04 54.5,8.94,13.04,1.22,0.598,0.024,          ,116974,B+15 2579 
65602,13 27 03.10,-24 17 25.1,8.72,34.38,1.08,0.911,0.002,13267-2418,116920,          
65607,13 27 07.80,-22 21 54.1,8.09,10.67,2.89,0.514,0.008,13271-2222,116898,B-21 3714 
65609,13 27 09.40,+22 57 30.6,9.1,8.11,1.62,0.38,0.027,          ,117029,B+23 2571 
65612,13 27 10.60,+36 24 22.4,9.53,5.75,1.22,0.413,0.022,          ,117061,B+37 2408 
65617,13 27 12.20,-59 38 14.2,9.6,6.09,1.52,0.549,0.019,          ,116794,          
65626,13 27 18.10,-39 57 08.5,9.64,21.3,1.37,0.936,0.002,          ,116883,          
65632,13 27 22.80,+12 02 44.7,11.42,25.48,2.71,1.33,0.02,          ,      ,          
65634,13 27 24.10,-31 02 22.4,9.5,8.75,1.31,0.652,0.031,          ,116930,          
65636,13 27 25.00,-21 39 19.1,9.93,27.43,1.58,1.092,0.003,          ,116963,B-20 3825 
65640,13 27 27.30,+35 43 37.1,8.76,36.27,1.12,0.999,0.007,          ,117099,B+36 2375 
65641,13 27 27.50,+44 42 24.8,8.42,19.26,1.11,0.692,0.012,          ,117122,B+45 2110 
65642,13 27 29.60,-09 11 33.6,9.53,6.77,1.63,0.58,0.04,          ,117004,B- 8 3559 
65645,13 27 30.20,+56 01 21.4,8.2,10.78,1.06,0.541,0.015,13275+5601,117202,B+56 1658 
65651,13 27 35.50,-01 50 16.2,10.79,19.69,2.01,1.203,0.02,          ,      ,          
65653,13 27 39.30,-05 07 16.3,9.73,8.49,1.46,0.795,0.049,          ,      ,B- 4 3485 
65654,13 27 39.50,+03 01 27.1,9.56,11.33,1.46,0.552,0.042,          ,      ,B+ 3 2776 
65669,13 27 54.00,-26 57 00.5,11.76,48.04,2.95,1.515,0.012,          ,      ,          
65674,13 27 56.30,-28 17 15.5,10.19,26.85,1.93,1.21,0.015,          ,      ,          
65683,13 28 02.80,-00 19 00.4,8.86,11.68,1.1,0.499,0.026,          ,117088,B+ 0 3063 
65685,13 28 04.60,-47 42 18.1,8.71,9.11,1.26,0.546,0.022,          ,116980,          
65701,13 28 14.90,-33 42 22.2,8.18,17.03,1.06,0.563,0.013,          ,117052,          
65703,13 28 15.80,+49 21 14.3,9.36,4.9,1.24,0.536,0.027,          ,117260,B+50 2002 
65706,13 28 17.80,+30 02 47.6,11.21,20.74,1.97,1.577,0.082,13283+3003,      ,B+30 2400 
65711,13 28 19.60,+10 28 07.4,8.04,16.7,0.95,0.568,0.012,          ,117140,B+11 2573 
65714,13 28 20.90,-02 21 32.8,11.23,70.62,2.4,1.539,0.001,13284-0222,      ,          
65716,13 28 22.30,+51 25 18.4,9.66,6.62,1.17,0.43,0.03,          ,234043,B+52 1705 
65721,13 28 25.90,+13 46 48.7,4.97,55.22,0.73,0.714,0.007,13285+1346,117176,B+14 2621 
65725,13 28 26.70,+15 42 29.8,7.37,18.07,1.51,0.54,0.012,13284+1543,117190,B+16 2513 
65734,13 28 28.00,+25 42 39.9,10.07,4.74,1.29,0.709,0.015,          ,      ,B+26 2464 
65736,13 28 28.50,+06 42 08.6,9.11,5.49,1.19,0.582,0.029,          ,117177,B+ 7 2650 
65737,13 28 30.70,-27 23 32.5,7.2,28.02,0.99,0.583,0.01,          ,117105,          
65750,13 28 41.50,-37 00 11.4,10.26,13.54,1.57,0.753,0.004,          ,      ,          
65758,13 28 50.00,-86 26 58.2,9.19,17.94,0.94,0.75,0.022,          ,115499,          
65759,13 28 54.70,+19 47 26.0,8.29,13.11,1.04,0.488,0.004,          ,117264,B+20 2837 
65766,13 29 01.10,+04 28 52.6,8.91,9.52,1.27,0.579,0.023,          ,117244,B+ 5 2749 
65779,13 29 06.60,-66 04 25.5,8.54,12.32,1.08,0.551,0.1,13291-6605,117001,          
65780,13 29 06.20,+11 28 12.0,8.46,18.34,1.51,0.82,0.015,13291+1128,      ,B+12 2597 
65781,13 29 06.30,+22 10 57.7,8.11,14.71,1.24,0.588,0.015,13291+2212,117318,B+22 2584 
65785,13 29 09.90,-66 04 43.0,9.11,13.09,1.41,0.541,0.1,13291-6605,117007,          
65789,13 29 12.60,+00 07 09.1,7.79,13.31,0.97,0.553,0.015,          ,117266,B+ 0 3065 
65800,13 29 16.20,+48 46 39.5,10.53,12.52,3.67,0.982,0.082,13293+4847,      ,B+49 2218 
65808,13 29 21.20,-35 34 15.0,7.26,30.29,0.92,0.724,0.002,          ,117207,          
65816,13 29 33.20,+01 42 29.0,8.73,12.58,1.16,0.529,0.02,          ,117331,B+ 2 2685 
