HIP,RA,DEC,V,PARX,SIGPX,B-V,SIGBV,CCDM,HD,BD
535,00 06 28.40,-43 37 39.8,10.07,5.95,1.54,0.59,0.02,          ,      ,          
538,00 06 31.60,+05 49 31.1,10.95,13.26,2.41,1.008,0.006,          ,      ,          
539,00 06 33.90,+43 46 56.2,8.87,6.15,1.06,0.426,0.017,          ,165,B+42 4834 
554,00 06 46.30,-13 44 55.3,9.84,9.89,1.59,0.69,0.02,          ,      ,B-14 6619 
565,00 06 52.30,+01 51 39.6,8.98,6.64,1.23,0.567,0.024,          ,199,B+ 1 4832 
569,00 06 53.90,-03 37 32.6,8.23,18.71,1.05,0.58,0.012,          ,208,B- 4 6025 
577,00 07 00.50,+32 52 13.0,9.61,15.97,1.47,0.761,0.042,          ,      ,B+32 4772 
599,00 07 15.40,-41 53 22.6,8.23,17.18,1,0.599,0.002,          ,259,          
601,00 07 18.10,+20 57 56.2,9.14,17.98,2.35,0.74,0.015,00073+2058,250,B+20 5430 
604,00 07 19.40,+01 39 54.3,8.95,8.23,1.18,0.653,0.024,          ,253,B+ 0 5087 
606,00 07 22.40,-25 21 22.8,7.06,20.63,0.91,0.463,0.015,          ,268,          
616,00 07 32.30,-23 49 08.2,8.7,30.76,1.21,0.798,0.003,          ,283,          
618,00 07 34.70,-60 38 30.2,8.37,8.86,1.46,0.595,0.016,00076-6039,309,          
624,00 07 37.40,-45 07 09.5,8.19,8.21,0.99,0.584,0.002,          ,307,          
630,00 07 40.50,+39 02 05.7,8.01,9.58,0.89,0.456,0.012,          ,291,B+38    2 
642,00 07 53.10,-04 51 17.6,9.08,11.55,1.4,0.595,0.001,          ,316,B- 5    3 
643,00 07 54.70,-42 09 13.9,10.1,5.57,1.58,0.57,0.02,          ,      ,          
649,00 08 00.20,-07 32 41.2,7.85,10.66,0.99,0.505,0.015,          ,334,B- 8    3 
665,00 08 13.10,-43 38 48.1,10.26,7.53,1.63,0.73,0.02,          ,      ,          
676,00 08 22.50,+21 55 27.5,9.4,10.7,1.27,0.57,0.031,          ,      ,B+21    1 
687,00 08 27.30,+17 25 28.0,10.73,45.64,1.92,1.46,0.015,          ,      ,          
690,00 08 29.70,-66 30 50.9,9.26,11.01,0.95,0.675,0.023,          ,403,          
693,00 08 31.20,+20 16 02.5,8.94,9.47,1.13,0.419,0.025,          ,387,B+19    7 
713,00 08 49.90,-60 15 52.3,9.55,4.78,1.13,0.473,0.023,          ,458,          
722,00 08 56.50,+12 48 16.1,8.48,12.89,1.03,0.537,0.014,          ,435,B+11    2 
726,00 08 59.50,-39 44 13.6,7.72,18.22,0.95,0.62,0.007,          ,457,          
733,00 09 02.70,+09 50 59.9,8.58,10.46,1.13,0.714,0.017,          ,449,B+ 9    5 
735,00 09 03.10,+22 39 51.4,9.23,6.32,1.08,0.383,0.029,          ,446,B+21    2 
738,00 09 03.90,-27 07 20.5,11.73,42.82,2.61,1.493,0.01,          ,      ,          
748,00 09 11.00,+21 03 33.7,9.25,5.87,1.08,0.537,0.027,          ,461,B+20    7 
751,00 09 12.90,+42 15 15.8,9.9,4.56,1.26,0.561,0.038,          ,      ,B+41    4 
753,00 09 14.60,+32 28 36.0,9.33,17.75,1.21,0.812,0.031,          ,      ,B+31    3 
758,00 09 19.10,-41 53 11.1,9.6,7.75,1.28,0.446,0.022,          ,495,          
762,00 09 23.20,-41 02 39.1,9.11,11.89,1.31,0.83,0.002,          ,494,          
772,00 09 30.70,-34 06 38.8,8.52,16.26,0.98,0.687,0.014,          ,512,          
777,00 09 35.20,-21 22 54.7,8.92,8.17,1.89,0.499,0.02,00096-2123,511,B-22   12 
787,00 09 43.50,-31 49 29.8,9.53,23.86,1.59,0.965,0.005,          ,520,          
791,00 09 48.40,-40 53 33.5,8.57,13.92,1.11,0.644,0.013,          ,547,          
794,00 09 50.10,-33 47 19.3,8.84,17.08,1.86,0.833,0.003,00098-3347,546,          
801,00 09 52.90,-50 16 04.0,8.32,18.8,1.05,0.595,0.01,          ,564,          
808,00 09 57.50,+43 26 18.3,9.04,7.14,1.07,0.542,0.02,          ,528,B+42   10 
819,00 10 04.40,-79 00 06.6,7.88,11.15,0.68,0.476,0.015,          ,610,          
822,00 10 05.20,+84 09 07.1,8.38,7.73,0.7,0.371,0.013,          ,486,B+83    1 
